sector_position,sector,boundary,denominator_role,extension,stressor,unit,value,monetary_output,intensity
1,CPA_A01,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,66.65370163724154,56895.479999999996,0.0011715113685171743
2,CPA_A02,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,2.238987251815617,1513.1199999999997,0.0014797155888598506
3,CPA_A03,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,438.7727630495463,7819.239999999999,0.056114502566687596
4,CPA_B,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,23399.334732140374,581888.71,0.04021273197093027
5,CPA_C10-12,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,869.8305660746703,90352.11000000002,0.009627119566711504
6,CPA_C13-15,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,383.31350729792166,153099.01,0.0025036968383918465
7,CPA_C16,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,55.50921271124727,20378.450000000004,0.002723917310258988
8,CPA_C17,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,42.78605956721644,18004.19,0.002376450124510819
9,CPA_C18,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,13.281849692205482,5750.39,0.002309730243027948
10,CPA_C19,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,1103.2961690023524,75461.52000000003,0.014620645979597977
11,CPA_C20_BIODIESEL,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,17.84953760331246,1286.9148611645155,0.013870022129638478
12,CPA_C20_BIOGASOLINE,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,28.401251625861004,1953.8375385762604,0.014536137762281236
13,CPA_C20_OTHER_LIQUID_BIOFUELS,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,0.0114038871254172,38.32897869508868,0.0002975265064101083
14,CPA_C20_others,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,481.4686774112923,137204.6686215641,0.0035091275118288574
15,CPA_C21,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,277.82922908184486,80970.94,0.0034312214861510174
16,CPA_C22,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,151.53626418216615,51295.76000000001,0.0029541674435112405
17,CPA_C23,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,704.059916682379,28480.120000000003,0.024721100777748795
18,CPA_C24,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,1673.8811076655022,82886.70000000001,0.02019480939240556
19,CPA_C25,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,180.5486877376335,60709.33999999998,0.0029739853494970213
20,CPA_C26,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,11014.924281398044,169593.59000000003,0.06494894224126067
21,CPA_C27,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,454.6899731542096,106341.87999999996,0.004275737584799231
22,CPA_C28,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,79.72328712063066,118085.82,0.0006751300632085262
23,CPA_C29,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,28.947423600150653,106401.42000000001,0.00027205862102357896
24,CPA_C30,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,15146.144842884214,74160.85,0.2042337007044042
25,CPA_C31_32,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,633.3639532517788,71530.55,0.008854453841775002
26,CPA_C33,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,378.9511331742869,20408.48,0.01856831734525486
27,CPA_D_BIOGAS,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,0.0002758947035418,0.1477921201697606,0.0018667754628926756
28,CPA_D_others,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,19054.653840827104,6678.552207879832,2.853111460047444
29,CPA_E36,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,,279.9599999999999,
30,CPA_E37-39,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,186.49849354468583,4846.669999999998,0.038479717732935376
31,CPA_F,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,13.7769812503481,3533.01,0.0038995024781554822
32,CPA_G45,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,960.4735173474936,14523.629999999997,0.06613178092167687
33,CPA_G46,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,3246.538294569309,332582.50999999995,0.009761602600717968
34,CPA_G47,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,3618.801543280735,85352.02,0.04239854596623179
35,CPA_H49,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,975.0180050825062,126179.62,0.00772722255053951
36,CPA_H50,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,2238436.0140664666,25463.060000000005,87.90915208409619
37,CPA_H51,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,19.98328644806666,18460.29,0.001082501220081952
38,CPA_H52,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,2329.4803511926007,35970.34,0.0647611435197054
39,CPA_H53,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,30.973449715774557,20276.25,0.0015275728853103782
40,CPA_I,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,117.77675661370084,3648.409999999999,0.03228166697649136
41,CPA_J58,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,86.34429921557732,37382.850000000006,0.0023097302430279474
42,CPA_J59_60,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,163.7921873481451,25618.66000000001,0.006393472076531133
43,CPA_J61,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,25.973016254355294,17002.800000000003,0.001527572885310378
44,CPA_J62_63,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,583.1127809698512,66824.41,0.00872604458415497
45,CPA_K64,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,1164.490989359737,212867.64000000007,0.005470493257499058
46,CPA_K65,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,45.1016269595688,19029.130000000005,0.002370136047184963
47,CPA_K66,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,52.58278488516693,16346.010000000004,0.0032168575013209284
48,CPA_L68B,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,37.03268258567718,6337.019999999999,0.005843863927473351
49,CPA_M69_70,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,54.56072929959649,71931.51000000004,0.0007585094390427292
50,CPA_M71,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,5.444724870242127,7178.189999999999,0.0007585094390427291
51,CPA_M72,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,136.90418578768245,22730.29,0.006022984563227414
52,CPA_M73,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,6.919904367669992,9123.030000000002,0.0007585094390427292
53,CPA_M74_75,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,17.50421334592174,23077.12,0.0007585094390427287
54,CPA_N77,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,464.9242058033495,10704.32,0.0434333246580212
55,CPA_N78,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,8.892878439752817,11724.15,0.0007585094390427295
56,CPA_N79,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,1535.124050448505,23704.4,0.06476114351970541
57,CPA_N80-82,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,62.873173561310594,82890.42999999998,0.0007585094390427289
58,CPA_O,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,0.5665543789107325,1109.0300000000002,0.0005108557738841441
59,CPA_P,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,1.06434317003391,3571.4800000000005,0.00029801179623962896
60,CPA_Q86,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,0.3053674512967214,1939.78,0.00015742375490866047
61,CPA_Q87_88,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,0.0278781727567746,177.09,0.00015742375490865998
62,CPA_R90-92,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,13.9454412933297,2181.2,0.00639347207653113
63,CPA_R93,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,7.725871657280222,1208.4,0.006393472076531133
64,CPA_S94,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,0.0556889665044255,29.62,0.001880113656462711
65,CPA_S95,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,,-18.859999999999992,
66,CPA_S96,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,4.950958897992358,1878.7000000000003,0.0026353110650941375
67,CPA_T,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,0.0006783142466462,2.619999999999999,0.00025889856742221373
68,CPA_U,external_imports_direct,target_import_use,air_emissions,As - combustion - air,kg,,0.0,
1,CPA_A01,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,90592.09912093612,56895.479999999996,1.592254764718324
2,CPA_A02,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,2298.7978089810726,1513.1199999999997,1.5192435556869732
3,CPA_A03,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,4.173499355813997,7819.239999999999,0.0005337474429502096
4,CPA_B,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,2367.4585478689496,581888.71,0.004068576185073172
5,CPA_C10-12,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,3108.5088143163384,90352.11000000002,0.03440438540191632
6,CPA_C13-15,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,859.1230997259165,153099.01,0.005611552287150104
7,CPA_C16,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,343.1898607241485,20378.450000000004,0.01684082257110568
8,CPA_C17,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,114.58349313867,18004.19,0.006364268158615856
9,CPA_C18,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,13.766783179594135,5750.39,0.002394060781893773
10,CPA_C19,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,155.63880511014028,75461.52000000003,0.0020624923154230167
11,CPA_C20_BIODIESEL,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,348.26495854240375,1286.9148611645155,0.2706200457015956
12,CPA_C20_BIOGASOLINE,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,21.230478136791728,1953.8375385762604,0.01086604065978901
13,CPA_C20_OTHER_LIQUID_BIOFUELS,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,0.1020801613985684,38.32897869508868,0.002663263276870161
14,CPA_C20_others,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,851.3863696775376,137204.6686215641,0.006205228861605422
15,CPA_C21,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,300.094110538393,80970.94,0.0037061952169308273
16,CPA_C22,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,1926.9068445337948,51295.76000000001,0.03756464168839286
17,CPA_C23,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,3593.622363552632,28480.120000000003,0.12618002886057475
18,CPA_C24,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,3522.034840376564,82886.70000000001,0.0424921590602179
19,CPA_C25,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,317.6479242036289,60709.33999999998,0.0052322743782691255
20,CPA_C26,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,1318.9361547623214,169593.59000000003,0.0077770401272968005
21,CPA_C27,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,260.353786437293,106341.87999999996,0.0024482714283149123
22,CPA_C28,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,230.9942915820245,118085.82,0.001956156053131735
23,CPA_C29,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,65.72834394473949,106401.42000000001,0.0006177393491998462
24,CPA_C30,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,120.02259181500602,74160.85,0.001618409063744631
25,CPA_C31_32,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,3582.889579624848,71530.55,0.05008894213206593
26,CPA_C33,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,555.2352764807912,20408.48,0.027206106308788856
27,CPA_D_BIOGAS,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,1.363242806477004e-05,0.1477921201697606,9.224056092510865e-05
28,CPA_D_others,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,3.7427286675183273,6678.552207879832,0.0005604101833781264
29,CPA_E36,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,,279.9599999999999,
30,CPA_E37-39,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,1381.5122179469313,4846.669999999998,0.28504359033046023
31,CPA_F,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,4.074387300244495,3533.01,0.0011532340129930272
32,CPA_G45,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,131.07018655425512,14523.629999999997,0.009024616198171886
33,CPA_G46,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,2207.8456025824435,332582.50999999995,0.006638489806882641
34,CPA_G47,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,654.1461843882598,85352.02,0.007664097280746956
35,CPA_H49,external_imports_direct,target_import_use,air_emissions,B(a)P - combustion - air,kg,-197.20847067495697,126179.62,-0.001562918565414581
